OBJECTID,ID,NAME,ST_ABBREV,LANDAREA,TOTPOP_CY,POPDENS_CY
1,01001,Autauga County,AL,594.4361,55939,94.1
2,01003,Baldwin County,AL,1589.784,190116,119.6
3,01005,Barbour County,AL,884.8763,27310,30.9
4,01007,Bibb County,AL,622.5823,23106,37.1
5,01009,Blount County,AL,644.7759,58107,90.1
6,01011,Bullock County,AL,622.8048,10966,17.6
7,01013,Butler County,AL,776.8287,21100,27.2
8,01015,Calhoun County,AL,605.8677,118859,196.2
9,01017,Chambers County,AL,596.5314,34268,57.4
10,01019,Cherokee County,AL,553.6998,25981,46.9
11,01021,Chilton County,AL,692.854,44043,63.6
12,01023,Choctaw County,AL,913.5003,13880,15.2
13,01025,Clarke County,AL,1238.465,25916,20.9
14,01027,Clay County,AL,603.9612,13973,23.1
15,01029,Cleburne County,AL,560.1002,15070,26.9
16,01031,Coffee County,AL,678.9718,50873,74.9
17,01033,Colbert County,AL,592.6195,54918,92.7
18,01035,Conecuh County,AL,850.1564,13243,15.6
19,01037,Coosa County,AL,650.9262,11625,17.9
20,01039,Covington County,AL,1030.4563,37755,36.6
21,01041,Crenshaw County,AL,608.8399,14035,23.1
22,01043,Cullman County,AL,734.8406,80997,110.2
23,01045,Dale County,AL,561.1498,50697,90.3
24,01047,Dallas County,AL,978.6946,43670,44.6
25,01049,DeKalb County,AL,777.0933,70932,91.3
26,01051,Elmore County,AL,618.4846,81971,132.5
27,01053,Escambia County,AL,945.0804,38389,40.6
28,01055,Etowah County,AL,534.9905,104686,195.7
29,01057,Fayette County,AL,627.6599,17274,27.5
30,01059,Franklin County,AL,633.8206,31446,49.6
31,01061,Geneva County,AL,574.4082,27071,47.1
32,01063,Greene County,AL,647.11,9115,14.1
33,01065,Hale County,AL,643.9427,15617,24.3
34,01067,Henry County,AL,561.7502,17423,31
35,01069,Houston County,AL,579.8242,103325,178.2
36,01071,Jackson County,AL,1077.8679,53463,49.6
37,01073,Jefferson County,AL,1111.2763,655672,590
38,01075,Lamar County,AL,604.8463,14650,24.2
39,01077,Lauderdale County,AL,667.6973,93530,140.1
40,01079,Lawrence County,AL,690.6776,34539,50
41,01081,Lee County,AL,607.5359,145597,239.7
42,01083,Limestone County,AL,559.9363,86957,155.3
43,01085,Lowndes County,AL,715.9105,11190,15.6
44,01087,Macon County,AL,608.8851,21638,35.5
45,01089,Madison County,AL,801.5931,346776,432.6
46,01091,Marengo County,AL,976.8819,21027,21.5
47,01093,Marion County,AL,742.2918,30706,41.4
48,01095,Marshall County,AL,565.8415,93700,165.6
49,01097,Mobile County,AL,1229.4355,416236,338.6
50,01099,Monroe County,AL,1025.6747,23296,22.7
51,01101,Montgomery County,AL,784.2472,231404,295.1
52,01103,Morgan County,AL,579.3372,120332,207.7
53,01105,Perry County,AL,719.6637,10357,14.4
54,01107,Pickens County,AL,881.4084,19835,22.5
55,01109,Pike County,AL,672.0941,33048,49.2
56,01111,Randolph County,AL,580.5496,22893,39.4
57,01113,Russell County,AL,641.1403,55184,86.1
58,01115,St. Clair County,AL,631.9023,86962,137.6
59,01117,Shelby County,AL,784.9304,200298,255.2
60,01119,Sumter County,AL,903.8874,13776,15.2
61,01121,Talladega County,AL,736.7754,83174,112.9
62,01123,Tallapoosa County,AL,716.5207,42281,59
63,01125,Tuscaloosa County,AL,1321.7547,199153,150.7
64,01127,Walker County,AL,791.1919,66792,84.4
65,01129,Washington County,AL,1080.2067,17865,16.5
66,01131,Wilcox County,AL,888.4984,11690,13.2
67,01133,Winston County,AL,612.9789,24479,39.9
68,02013,Aleutians East Borough,AK,6981.9431,3158,0.5
69,02016,Aleutians West Census Area,AK,4390.2762,5567,1.3
70,02020,Anchorage Municipality,AK,1704.6832,297951,174.8
71,02050,Bethel Census Area,AK,40570.0037,17135,0.4
72,02060,Bristol Bay Borough,AK,503.843,1011,2
73,02068,Denali Borough,AK,12751.4106,1867,0.1
74,02070,Dillingham Census Area,AK,18568.7782,4892,0.3
75,02090,Fairbanks North Star Borough,AK,7338.2094,102419,14
76,02100,Haines Borough,AK,2318.6001,2623,1.1
77,02105,Hoonah-Angoon Census Area,AK,7524.9148,2113,0.3
78,02110,Juneau City and Borough,AK,2701.9309,32273,11.9
79,02122,Kenai Peninsula Borough,AK,16075.3313,58208,3.6
80,02130,Ketchikan Gateway Borough,AK,4858.4136,13682,2.8
81,02150,Kodiak Island Borough,AK,6549.5793,14081,2.1
82,02164,Lake and Peninsula Borough,AK,23652.009,1659,0.1
83,02170,Matanuska-Susitna Borough,AK,24607.8979,94459,3.8
84,02180,Nome Census Area,AK,22961.7611,9654,0.4
85,02185,North Slope Borough,AK,88695.4127,9385,0.1
86,02188,Northwest Arctic Borough,AK,35572.5837,7624,0.2
87,02195,Petersburg Census Area,AK,3281.982,3780,1.2
